RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
175,56,6,6,1,10.0,57,,,1,Finished
175,49,17,5,2,6.0,57,,,1,Finished
175,23,3,8,3,4.0,57,,,1,Finished
175,21,22,7,4,3.0,57,,,1,Finished
175,22,24,4,5,2.0,57,,,1,Finished
175,37,21,18,6,1.0,57,,,1,Finished
175,68,21,17,7,0.0,57,,,1,Finished
175,30,6,3,8,0.0,56,,,11,+1 Lap
175,41,16,19,9,0.0,48,,,6,Gearbox
175,69,18,21,10,0.0,42,,,6,Gearbox
175,25,22,10,11,0.0,28,,,22,Suspension
175,64,15,14,12,0.0,27,,,7,Transmission
175,48,18,22,13,0.0,25,,,4,Collision
175,15,20,12,14,0.0,25,,,4,Collision
175,44,20,20,15,0.0,23,,,36,Wheel
175,57,1,1,16,0.0,21,,,37,Throttle
175,70,3,15,17,0.0,20,,,20,Spun off
175,14,1,2,18,0.0,13,,,9,Hydraulics
175,35,16,11,19,0.0,13,,,65,Rear wing
175,71,17,9,20,0.0,0,,,4,Collision
175,55,15,16,21,0.0,0,,,6,Gearbox
175,65,24,13,22,0.0,0,,,66,Fire
176,57,1,1,1,10.0,72,,,1,Finished
176,30,6,4,2,6.0,72,,,1,Finished
176,49,17,8,3,4.0,71,,,60,Out of fuel
176,23,3,11,4,3.0,71,,,11,+1 Lap
176,56,6,6,5,2.0,71,,,11,+1 Lap
176,44,20,12,6,1.0,71,,,11,+1 Lap
176,25,22,9,7,0.0,70,,,12,+2 Laps
176,68,21,19,8,0.0,69,,,13,+3 Laps
176,48,18,20,9,0.0,69,,,13,+3 Laps
176,37,21,17,10,0.0,52,,,9,Hydraulics
176,35,16,21,11,0.0,49,,,9,Hydraulics
176,70,3,16,12,0.0,43,,,6,Gearbox
176,22,24,3,13,0.0,42,,,5,Engine
176,64,15,15,14,0.0,42,,,4,Collision
176,21,22,5,15,0.0,38,,,8,Clutch
176,72,18,18,16,0.0,31,,,20,Spun off
176,55,15,14,17,0.0,27,,,6,Gearbox
176,14,1,2,18,0.0,22,,,6,Gearbox
176,15,20,13,19,0.0,21,,,6,Gearbox
176,65,24,10,20,0.0,15,,,9,Hydraulics
176,71,17,7,21,0.0,10,,,4,Collision
176,41,16,0,22,0.0,0,,,81,Did not qualify
177,30,6,3,1,10.0,62,,,1,Finished
177,14,1,2,2,6.0,62,,,1,Finished
177,22,24,6,3,4.0,61,,,11,+1 Lap
177,71,17,8,4,3.0,61,,,11,+1 Lap
177,21,22,16,5,2.0,61,,,11,+1 Lap
177,55,15,13,6,1.0,61,,,11,+1 Lap
177,63,16,19,7,0.0,59,,,13,+3 Laps
177,69,18,22,8,0.0,59,,,13,+3 Laps
177,48,18,21,9,0.0,59,,,13,+3 Laps
177,65,24,12,10,0.0,58,,,5,Engine
177,70,3,10,11,0.0,58,,,20,Spun off
177,64,15,15,12,0.0,49,,,20,Spun off
177,44,20,11,13,0.0,48,,,37,Throttle
177,56,6,4,14,0.0,46,,,5,Engine
177,49,17,7,15,0.0,46,,,20,Spun off
177,68,21,20,16,0.0,29,,,32,Fuel pressure
177,23,3,9,17,0.0,28,,,37,Throttle
177,57,1,1,18,0.0,17,,,20,Spun off
177,37,21,18,19,0.0,5,,,20,Spun off
177,25,22,17,20,0.0,5,,,20,Spun off
177,35,16,14,21,0.0,0,,,6,Gearbox
177,15,20,5,22,0.0,0,,,20,Spun off
178,30,6,2,1,10.0,78,,,1,Finished
178,56,6,4,2,6.0,78,,,1,Finished
178,57,1,1,3,4.0,78,,,1,Finished
178,49,17,6,4,3.0,78,,,1,Finished
178,21,22,9,5,2.0,77,,,11,+1 Lap
178,25,22,10,6,1.0,77,,,11,+1 Lap
178,15,20,7,7,0.0,77,,,11,+1 Lap
178,70,3,11,8,0.0,76,,,12,+2 Laps
178,22,24,5,9,0.0,71,,,20,Spun off
178,23,3,16,10,0.0,54,,,20,Spun off
178,55,15,14,11,0.0,50,,,22,Suspension
178,64,15,15,12,0.0,49,,,22,Suspension
178,44,20,18,13,0.0,40,,,5,Engine
178,14,1,3,14,0.0,36,,,6,Gearbox
178,63,16,12,15,0.0,36,,,23,Brakes
178,68,21,19,16,0.0,36,,,5,Engine
178,35,16,8,17,0.0,32,,,44,Oil leak
178,65,24,13,18,0.0,32,,,22,Suspension
178,37,21,21,19,0.0,30,,,6,Gearbox
178,48,18,22,20,0.0,24,,,20,Spun off
178,69,18,20,21,0.0,10,,,6,Gearbox
178,71,17,17,22,0.0,3,,,4,Collision
179,57,1,1,1,10.0,65,,,1,Finished
179,14,1,3,2,6.0,65,,,1,Finished
179,30,6,4,3,4.0,65,,,1,Finished
179,56,6,2,4,3.0,65,,,1,Finished
179,23,3,10,5,2.0,65,,,1,Finished
179,15,20,9,6,1.0,64,,,11,+1 Lap
179,71,17,11,7,0.0,64,,,11,+1 Lap
179,63,16,16,8,0.0,64,,,11,+1 Lap
179,21,22,13,9,0.0,64,,,11,+1 Lap
179,25,22,18,10,0.0,64,,,11,+1 Lap
179,37,21,19,11,0.0,63,,,12,+2 Laps
179,68,21,20,12,0.0,62,,,13,+3 Laps
179,69,18,22,13,0.0,50,,,20,Spun off
179,35,16,6,14,0.0,40,,,6,Gearbox
179,64,15,12,15,0.0,40,,,7,Transmission
179,65,24,14,16,0.0,40,,,7,Transmission
179,49,17,8,17,0.0,35,,,86,Halfshaft
179,55,15,5,18,0.0,27,,,7,Transmission
179,70,3,17,19,0.0,24,,,6,Gearbox
179,44,20,15,20,0.0,24,,,6,Gearbox
179,48,18,21,21,0.0,0,,,6,Gearbox
179,22,24,7,22,0.0,64,,,2,Disqualified
180,57,1,2,1,10.0,69,,,1,Finished
180,21,22,7,2,6.0,69,,,1,Finished
180,56,6,3,3,4.0,69,,,1,Finished
180,23,3,13,4,3.0,69,,,1,Finished
180,65,24,10,5,2.0,69,,,1,Finished
180,64,15,18,6,1.0,69,,,1,Finished
180,14,1,4,7,0.0,69,,,1,Finished
180,48,18,22,8,0.0,68,,,11,+1 Lap
180,44,20,15,9,0.0,68,,,11,+1 Lap
180,69,18,21,10,0.0,67,,,12,+2 Laps
180,49,17,6,11,0.0,65,,,23,Brakes
180,70,3,12,12,0.0,50,,,23,Brakes
180,68,21,19,13,0.0,41,,,7,Transmission
180,35,16,16,14,0.0,34,,,20,Spun off
180,30,6,1,15,0.0,29,,,20,Spun off
180,37,21,20,16,0.0,22,,,7,Transmission
180,71,17,14,17,0.0,14,,,20,Spun off
180,22,24,5,18,0.0,14,,,38,Steering
180,41,16,17,19,0.0,2,,,20,Spun off
180,55,15,8,20,0.0,0,,,4,Collision
180,15,20,9,21,0.0,0,,,4,Collision
180,25,22,11,22,0.0,0,,,7,Transmission
181,49,17,5,1,10.0,72,,,1,Finished
181,57,1,14,2,6.0,72,,,1,Finished
181,22,24,1,3,4.0,72,,,1,Finished
181,23,3,16,4,3.0,72,,,1,Finished
181,30,6,6,5,2.0,72,,,1,Finished
181,56,6,17,6,1.0,72,,,1,Finished
181,15,20,8,7,0.0,72,,,1,Finished
181,44,20,3,8,0.0,72,,,1,Finished
181,41,16,10,9,0.0,72,,,1,Finished
