RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
900,3,131,3,1,25.0,57,206.436,1:32.478,1,Finished
900,825,1,4,2,18.0,57,205.131,1:33.066,1,Finished
900,18,1,10,3,15.0,57,205.460,1:32.917,1,Finished
900,4,6,5,4,12.0,57,204.867,1:33.186,1,Finished
900,822,3,15,5,10.0,57,206.128,1:32.616,1,Finished
900,807,10,7,6,8.0,57,206.235,1:32.568,1,Finished
900,8,6,11,7,6.0,57,204.814,1:33.210,1,Finished
900,818,5,6,8,4.0,57,203.763,1:33.691,1,Finished
900,826,5,8,9,2.0,57,203.387,1:33.864,1,Finished
900,815,10,16,10,1.0,57,206.088,1:32.634,1,Finished
900,16,15,13,11,0.0,56,204.472,1:33.366,11,+1 Lap
900,821,15,20,12,0.0,56,201.882,1:34.564,11,+1 Lap
900,820,206,17,13,0.0,55,202.658,1:34.202,12,+2 Laps
900,824,206,18,14,0.0,49,199.621,1:35.635,18,+8 Laps
900,154,208,22,15,0.0,43,200.363,1:35.281,132,ERS
900,813,208,21,16,0.0,29,201.451,1:34.766,132,ERS
900,828,207,19,17,0.0,27,196.141,1:37.332,51,Oil pressure
900,20,9,12,18,0.0,3,196.682,1:37.064,5,Engine
900,1,131,1,19,0.0,2,173.636,1:49.947,5,Engine
900,13,3,9,20,0.0,0,190.361,1:40.287,4,Collision
900,155,207,14,21,0.0,0,,,4,Collision
900,817,9,2,22,0.0,57,,,2,Disqualified
901,1,131,1,1,25.0,56,193.611,1:43.066,1,Finished
901,3,131,3,2,18.0,56,191.946,1:43.960,1,Finished
901,20,9,2,3,15.0,56,191.341,1:44.289,1,Finished
901,4,6,4,4,12.0,56,191.569,1:44.165,1,Finished
901,807,10,7,5,10.0,56,188.284,1:45.982,1,Finished
901,18,1,10,6,8.0,56,188.183,1:46.039,1,Finished
901,13,3,13,7,6.0,56,190.232,1:44.897,1,Finished
901,822,3,18,8,4.0,56,189.189,1:45.475,1,Finished
901,825,1,8,9,2.0,55,189.372,1:45.373,11,+1 Lap
901,826,5,11,10,1.0,55,187.026,1:46.695,11,+1 Lap
901,154,208,15,11,0.0,55,187.855,1:46.224,11,+1 Lap
901,8,6,6,12,0.0,55,189.812,1:45.129,11,+1 Lap
901,155,207,20,13,0.0,55,185.190,1:47.753,11,+1 Lap
901,828,207,22,14,0.0,54,185.626,1:47.500,12,+2 Laps
901,820,206,21,15,0.0,54,184.341,1:48.249,12,+2 Laps
901,817,9,5,16,0.0,49,190.635,1:44.675,39,Technical
901,821,15,12,17,0.0,35,185.140,1:47.782,6,Gearbox
901,16,15,17,18,0.0,32,184.698,1:48.040,10,Electrical
901,818,5,9,19,0.0,18,183.869,1:48.527,131,Power Unit
901,824,206,19,20,0.0,8,179.010,1:51.473,23,Brakes
901,813,208,16,21,0.0,7,179.888,1:50.929,5,Engine
901,815,10,14,22,0.0,0,,,54,Withdrew
902,1,131,2,1,25.0,57,200.634,1:37.108,1,Finished
902,3,131,1,2,18.0,57,200.816,1:37.020,1,Finished
902,815,10,4,3,15.0,57,196.165,1:39.320,1,Finished
902,817,9,13,4,12.0,57,196.266,1:39.269,1,Finished
902,807,10,11,5,10.0,57,197.228,1:38.785,1,Finished
902,20,9,10,6,8.0,57,196.181,1:39.312,1,Finished
902,13,3,7,7,6.0,57,196.260,1:39.272,1,Finished
902,822,3,3,8,4.0,57,195.296,1:39.762,1,Finished
902,4,6,9,9,2.0,57,195.355,1:39.732,1,Finished
