RACEID,DRIVERID,POSITION,LAPS,LAP,TIME,FASTESTLAP,FASTESTLAPTIME
1121,830,1,57,1,1:37.284,39,1:32.608
1121,830,1,57,2,1:36.296,39,1:32.608
1121,830,1,57,3,1:36.753,39,1:32.608
1121,830,1,57,4,1:36.647,39,1:32.608
1121,830,1,57,5,1:37.173,39,1:32.608
1121,830,1,57,6,1:37.092,39,1:32.608
1121,830,1,57,7,1:37.038,39,1:32.608
1121,830,1,57,8,1:37.024,39,1:32.608
1121,830,1,57,9,1:37.229,39,1:32.608
1121,830,1,57,10,1:36.960,39,1:32.608
1121,830,1,57,11,1:37.085,39,1:32.608
1121,830,1,57,12,1:37.045,39,1:32.608
1121,830,1,57,13,1:37.030,39,1:32.608
1121,830,1,57,14,1:37.028,39,1:32.608
1121,830,1,57,15,1:37.011,39,1:32.608
1121,830,1,57,16,1:37.168,39,1:32.608
1121,830,1,57,17,1:39.896,39,1:32.608
1121,830,1,57,18,1:57.854,39,1:32.608
1121,830,1,57,19,1:35.283,39,1:32.608
1121,830,1,57,20,1:35.160,39,1:32.608
1121,830,1,57,21,1:35.316,39,1:32.608
1121,830,1,57,22,1:35.204,39,1:32.608
1121,830,1,57,23,1:35.216,39,1:32.608
1121,830,1,57,24,1:35.289,39,1:32.608
1121,830,1,57,25,1:35.342,39,1:32.608
1121,830,1,57,26,1:35.223,39,1:32.608
1121,830,1,57,27,1:35.581,39,1:32.608
1121,830,1,57,28,1:35.477,39,1:32.608
1121,830,1,57,29,1:35.793,39,1:32.608
1121,830,1,57,30,1:35.771,39,1:32.608
1121,830,1,57,31,1:35.679,39,1:32.608
1121,830,1,57,32,1:35.886,39,1:32.608
1121,830,1,57,33,1:35.863,39,1:32.608
1121,830,1,57,34,1:36.133,39,1:32.608
1121,830,1,57,35,1:36.018,39,1:32.608
1121,830,1,57,36,1:36.205,39,1:32.608
1121,830,1,57,37,1:39.234,39,1:32.608
1121,830,1,57,38,1:56.445,39,1:32.608
1121,830,1,57,39,1:32.608,39,1:32.608
1121,830,1,57,40,1:36.589,39,1:32.608
1121,830,1,57,41,1:35.290,39,1:32.608
1121,830,1,57,42,1:34.667,39,1:32.608
1121,830,1,57,43,1:34.151,39,1:32.608
1121,830,1,57,44,1:34.531,39,1:32.608
1121,830,1,57,45,1:34.249,39,1:32.608
1121,830,1,57,46,1:34.193,39,1:32.608
1121,830,1,57,47,1:34.239,39,1:32.608
1121,830,1,57,48,1:34.350,39,1:32.608
1121,830,1,57,49,1:34.403,39,1:32.608
1121,830,1,57,50,1:34.783,39,1:32.608
1121,830,1,57,51,1:34.340,39,1:32.608
1121,830,1,57,52,1:34.906,39,1:32.608
1121,830,1,57,53,1:35.600,39,1:32.608
1121,830,1,57,54,1:35.334,39,1:32.608
1121,830,1,57,55,1:35.184,39,1:32.608
1121,830,1,57,56,1:34.671,39,1:32.608
1121,830,1,57,57,1:34.923,39,1:32.608
1121,815,2,57,1,1:40.053,40,1:34.364
1121,815,2,57,2,1:36.541,40,1:34.364
1121,815,2,57,3,1:37.297,40,1:34.364
1121,815,2,57,4,1:37.722,40,1:34.364
1121,815,2,57,5,1:38.044,40,1:34.364
1121,815,2,57,6,1:37.823,40,1:34.364
1121,815,2,57,7,1:37.821,40,1:34.364
1121,815,2,57,8,1:37.838,40,1:34.364
1121,815,2,57,9,1:37.596,40,1:34.364
1121,815,2,57,10,1:37.630,40,1:34.364
1121,815,2,57,11,1:37.836,40,1:34.364
1121,815,2,57,12,1:40.277,40,1:34.364
1121,815,2,57,13,1:57.624,40,1:34.364
1121,815,2,57,14,1:35.606,40,1:34.364
1121,815,2,57,15,1:36.815,40,1:34.364
1121,815,2,57,16,1:35.783,40,1:34.364
1121,815,2,57,17,1:36.454,40,1:34.364
1121,815,2,57,18,1:36.311,40,1:34.364
