RACEID,DRIVERID,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR
175,56,1.0,0 days 01:35:01.660000,01:35:01.660000
175,49,2.0,0 days 01:35:02.686000,01:35:02.686000
175,23,3.0,0 days 01:35:08.672000,01:35:08.672000
175,21,4.0,0 days 01:35:35.078000,01:35:35.078000
175,22,5.0,0 days 01:35:56.357000,01:35:56.357000
175,37,6.0,0 days 01:36:25.976000,01:36:25.976000
175,68,7.0,0 days 01:36:27.948000,01:36:27.948000
175,30,8.0,0 days 01:35:16.505000,01:35:16.505000
175,14,,0 days 00:20:33.250000,00:20:33.250000
175,15,,0 days 00:44:23.384000,00:44:23.384000
175,25,,0 days 00:49:40.526000,00:49:40.526000
175,35,,0 days 00:21:00.284000,00:21:00.284000
175,41,,0 days 01:22:24.311000,01:22:24.311000
175,44,,0 days 00:39:22.808000,00:39:22.808000
175,48,,0 days 00:44:22.847000,00:44:22.847000
175,57,,0 days 00:38:08.255000,00:38:08.255000
175,64,,0 days 00:47:34.088000,00:47:34.088000
175,69,,0 days 01:12:52.948000,01:12:52.948000
175,70,,0 days 00:34:05.786000,00:34:05.786000
176,57,1.0,0 days 01:36:03.785000,01:36:03.785000
176,30,2.0,0 days 01:36:08.710000,01:36:08.710000
176,49,3.0,0 days 01:35:56.877000,01:35:56.877000
176,23,4.0,0 days 01:36:22.860000,01:36:22.860000
176,56,5.0,0 days 01:36:23.103000,01:36:23.103000
176,44,6.0,0 days 01:37:13.368000,01:37:13.368000
176,25,7.0,0 days 01:36:12.021000,01:36:12.021000
176,68,8.0,0 days 01:36:10.072000,01:36:10.072000
176,48,9.0,0 days 01:37:02.116000,01:37:02.116000
176,14,,0 days 00:34:20.981000,00:34:20.981000
176,15,,0 days 00:30:20.768000,00:30:20.768000
176,21,,0 days 00:51:40.942000,00:51:40.942000
176,22,,0 days 00:56:45.095000,00:56:45.095000
176,35,,0 days 01:08:09.488000,01:08:09.488000
176,37,,0 days 01:12:15.709000,01:12:15.709000
176,55,,0 days 00:37:15.031000,00:37:15.031000
176,64,,0 days 00:57:37.329000,00:57:37.329000
176,65,,0 days 00:22:57.879000,00:22:57.879000
176,70,,0 days 01:01:32.436000,01:01:32.436000
176,71,,0 days 00:14:17.096000,00:14:17.096000
176,72,,0 days 00:42:50.145000,00:42:50.145000
177,30,1.0,0 days 01:33:44.792000,01:33:44.792000
177,14,2.0,0 days 01:33:49.057000,01:33:49.057000
177,22,3.0,0 days 01:33:46.721000,01:33:46.721000
177,71,4.0,0 days 01:33:47.629000,01:33:47.629000
177,21,5.0,0 days 01:34:27.002000,01:34:27.002000
177,55,6.0,0 days 01:34:33.056000,01:34:33.056000
177,63,7.0,0 days 01:32:08.096000,01:32:08.096000
