RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POSITION,POINTS,STATUSID,STATUS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,ESTIMATED_FINISH_TIME,ESTIMATED_FINISH_TIME_STR,AVG_LAP_TIME
175,56,6,6,1,1.0,10.0,1,Finished,57,,,5701.66,0 days 01:35:01.660000,100.02912280701754
175,49,17,5,2,2.0,6.0,1,Finished,57,,,5702.686,0 days 01:35:02.686000,100.04712280701754
175,23,3,8,3,3.0,4.0,1,Finished,57,,,5708.672,0 days 01:35:08.672000,100.1521403508772
175,21,22,7,4,4.0,3.0,1,Finished,57,,,5735.078,0 days 01:35:35.078000,100.61540350877192
175,22,24,4,5,5.0,2.0,1,Finished,57,,,5756.357,0 days 01:35:56.357000,100.9887192982456
175,37,21,18,6,6.0,1.0,1,Finished,57,,,5785.976,0 days 01:36:25.976000,101.50835087719298
175,68,21,17,7,7.0,0.0,1,Finished,57,,,5787.948,0 days 01:36:27.948000,101.54294736842104
175,30,6,3,8,8.0,0.0,11,+1 Lap,56,,,6284.072,0 days 01:44:44.072000,102.08044642857143
175,41,16,19,9,,0.0,6,Gearbox,48,,,8513.486,0 days 02:21:53.486000,103.00647916666668
175,69,18,21,10,,0.0,6,Gearbox,42,,,10385.752,0 days 02:53:05.752000,104.11780952380953
175,25,22,10,11,,0.0,22,Suspension,28,,,14865.373,0 days 04:07:45.373000,106.44735714285714
175,64,15,14,12,,0.0,7,Transmission,27,,,15063.242,0 days 04:11:03.242000,105.70696296296298
175,48,18,22,13,,0.0,4,Collision,25,,,15785.357,0 days 04:23:05.357000,106.51388
175,15,20,12,14,,0.0,4,Collision,25,,,15788.54,0 days 04:23:08.540000,106.53536
175,44,20,20,15,,0.0,36,Wheel,23,,,15810.267,0 days 04:23:30.267000,102.73078260869563
175,57,1,1,16,,0.0,37,Throttle,21,,,17390.738,0 days 04:49:50.738000,108.9645238095238
175,70,3,15,17,,0.0,20,Spun off,20,,,16616.897,0 days 04:36:56.897000,102.2893
175,14,1,2,18,,0.0,9,Hydraulics,13,,,17303.446,0 days 04:48:23.446000,94.8653846153846
175,35,16,11,19,,0.0,65,Rear wing,13,,,17682.754,0 days 04:54:42.754000,96.94492307692308
175,71,17,9,20,,0.0,4,Collision,0,,,,NaT,
175,55,15,16,21,,0.0,6,Gearbox,0,,,,NaT,
175,65,24,13,22,,0.0,66,Fire,0,,,,NaT,
176,57,1,1,1,1.0,10.0,1,Finished,72,,,5763.785,0 days 01:36:03.785000,80.05256944444444
176,30,6,4,2,2.0,6.0,1,Finished,72,,,5768.71,0 days 01:36:08.710000,80.12097222222222
176,49,17,8,3,3.0,4.0,60,Out of fuel,71,,,6129.858,0 days 01:42:09.858000,81.08277464788733
176,23,3,11,4,4.0,3.0,11,+1 Lap,71,,,6333.453,0 days 01:45:33.453000,81.44873239436619
176,56,6,6,5,5.0,2.0,11,+1 Lap,71,,,6333.72,0 days 01:45:33.720000,81.45215492957746
176,44,20,12,6,6.0,1.0,11,+1 Lap,71,,,6388.77,0 days 01:46:28.770000,82.16011267605634
176,25,22,9,7,7.0,0.0,12,+2 Laps,70,,,6589.999,0 days 01:49:49.999000,82.45744285714285
176,68,21,19,8,8.0,0.0,13,+3 Laps,69,,,6863.877,0 days 01:54:23.877000,83.62423188405798
176,48,18,20,9,9.0,0.0,13,+3 Laps,69,,,6925.787,0 days 01:55:25.787000,84.37849275362319
176,37,21,17,10,,0.0,9,Hydraulics,52,,,12006.579,0 days 03:20:06.579000,83.37901923076923
176,35,16,21,11,,0.0,9,Hydraulics,49,,,12919.444,0 days 03:35:19.444000,83.4589387755102
176,70,3,16,12,,0.0,6,Gearbox,43,,,15147.575,0 days 04:12:27.575000,85.8706046511628
176,22,24,3,13,,0.0,5,Engine,42,,,14593.264,0 days 04:03:13.264000,81.07369047619048
176,64,15,15,14,,0.0,4,Collision,42,,,14817.124,0 days 04:06:57.124000,82.31735714285715
176,21,22,5,15,,0.0,8,Clutch,38,,,15863.766,0 days 04:24:23.766000,81.60373684210526
176,72,18,18,16,,0.0,20,Spun off,31,,,18206.576,0 days 05:03:26.576000,82.90790322580645
176,55,15,14,17,,0.0,6,Gearbox,27,,,19370.269,0 days 05:22:50.269000,82.77892592592592
176,14,1,2,18,,0.0,6,Gearbox,22,,,23607.601,0 days 06:33:27.601000,93.68095454545455
176,15,20,13,19,,0.0,6,Gearbox,21,,,22161.348,0 days 06:09:21.348000,86.70323809523809
176,65,24,10,20,,0.0,9,Hydraulics,15,,,25463.204,0 days 07:04:23.204000,91.8586
176,71,17,7,21,,0.0,4,Collision,10,,,25301.474,0 days 07:01:41.474000,85.7096
176,41,16,0,22,,0.0,81,Did not qualify,0,,,,NaT,
177,30,6,3,1,1.0,10.0,1,Finished,62,,,5624.792,0 days 01:33:44.792000,90.72245161290324
177,14,1,2,2,2.0,6.0,1,Finished,62,,,5629.057,0 days 01:33:49.057000,90.79124193548388
177,22,24,6,3,3.0,4.0,11,+1 Lap,61,,,6176.479,0 days 01:42:56.479000,92.24132786885244
177,71,17,8,4,4.0,3.0,11,+1 Lap,61,,,6177.476,0 days 01:42:57.476000,92.2562131147541
177,21,22,16,5,5.0,2.0,11,+1 Lap,61,,,6220.696,0 days 01:43:40.696000,92.90167213114756
177,55,15,13,6,6.0,1.0,11,+1 Lap,61,,,6227.341,0 days 01:43:47.341000,93.00091803278688
177,63,16,19,7,7.0,0.0,13,+3 Laps,59,,,6622.472,0 days 01:50:22.472000,93.69654237288135
177,69,18,22,8,8.0,0.0,13,+3 Laps,59,,,6748.555,0 days 01:52:28.555000,95.48040677966102
177,48,18,21,9,9.0,0.0,13,+3 Laps,59,,,6775.83,0 days 01:52:55.830000,95.86630508474576
177,65,24,12,10,10.0,0.0,5,Engine,58,,,6898.187,0 days 01:54:58.187000,92.71756896551724
177,70,3,10,11,11.0,0.0,20,Spun off,58,,,6907.71,0 days 01:55:07.710000,92.84556896551724
177,64,15,15,12,,0.0,20,Spun off,49,,,10007.003,0 days 02:46:47.003000,97.82016326530612
177,44,20,11,13,,0.0,37,Throttle,48,,,10003.444,0 days 02:46:43.444000,94.90933333333334
177,56,6,4,14,,0.0,5,Engine,46,,,10184.303,0 days 02:49:44.303000,91.25719565217392
177,49,17,7,15,,0.0,20,Spun off,46,,,10255.288,0 days 02:50:55.288000,91.89326086956522
177,68,21,20,16,,0.0,32,Fuel pressure,29,,,15727.878,0 days 04:22:07.878000,95.72658620689654
177,23,3,9,17,,0.0,37,Throttle,28,,,15378.129,0 days 04:16:18.129000,91.86457142857144
