RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR,ESTIMATED_FINISH_TIME,AVG_LAP_TIME,ESTIMATED_FINISH_TIME_STR
175,56,6,6,1,10.0,57,,,1,Finished,1.0,5701.66,01:35:01.660000,5701.66,100.02912280701754,0 days 01:35:01.660000
175,49,17,5,2,6.0,57,,,1,Finished,2.0,5702.686,01:35:02.686000,5702.686,100.04712280701754,0 days 01:35:02.686000
175,23,3,8,3,4.0,57,,,1,Finished,3.0,5708.672,01:35:08.672000,5708.672,100.15214035087719,0 days 01:35:08.672000
175,21,22,7,4,3.0,57,,,1,Finished,4.0,5735.078,01:35:35.078000,5735.078,100.61540350877193,0 days 01:35:35.078000
175,22,24,4,5,2.0,57,,,1,Finished,5.0,5756.357,01:35:56.357000,5756.357,100.98871929824561,0 days 01:35:56.357000
175,37,21,18,6,1.0,57,,,1,Finished,6.0,5785.976,01:36:25.976000,5785.976,101.50835087719298,0 days 01:36:25.976000
175,68,21,17,7,0.0,57,,,1,Finished,7.0,5787.948,01:36:27.948000,5787.948,101.54294736842105,0 days 01:36:27.948000
175,30,6,3,8,0.0,56,,,11,+1 Lap,8.0,5716.505,01:35:16.505000,6284.072,102.08044642857143,0 days 01:44:44.072000
175,41,16,19,9,0.0,48,,,6,Gearbox,,4944.311,01:22:24.311000,8513.486,103.00647916666667,0 days 02:21:53.486000
175,69,18,21,10,0.0,42,,,6,Gearbox,,4372.948,01:12:52.948000,10385.752,104.11780952380953,0 days 02:53:05.752000
175,25,22,10,11,0.0,28,,,22,Suspension,,2980.526,00:49:40.526000,14865.373,106.44735714285714,0 days 04:07:45.373000
175,64,15,14,12,0.0,27,,,7,Transmission,,2854.088,00:47:34.088000,15063.242,105.70696296296298,0 days 04:11:03.242000
175,48,18,22,13,0.0,25,,,4,Collision,,2662.847,00:44:22.847000,15785.357,106.51388000000001,0 days 04:23:05.357000
