RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR
175,56,6,6,1,10.0,57,,,1,Finished,1.0,0 days 01:35:01.660000,01:35:01.660000
175,49,17,5,2,6.0,57,,,1,Finished,2.0,0 days 01:35:02.686000,01:35:02.686000
175,23,3,8,3,4.0,57,,,1,Finished,3.0,0 days 01:35:08.672000,01:35:08.672000
175,21,22,7,4,3.0,57,,,1,Finished,4.0,0 days 01:35:35.078000,01:35:35.078000
175,22,24,4,5,2.0,57,,,1,Finished,5.0,0 days 01:35:56.357000,01:35:56.357000
175,37,21,18,6,1.0,57,,,1,Finished,6.0,0 days 01:36:25.976000,01:36:25.976000
175,68,21,17,7,0.0,57,,,1,Finished,7.0,0 days 01:36:27.948000,01:36:27.948000
175,30,6,3,8,0.0,56,,,11,+1 Lap,8.0,0 days 01:35:16.505000,01:35:16.505000
175,41,16,19,9,0.0,48,,,6,Gearbox,,0 days 01:22:24.311000,01:22:24.311000
175,69,18,21,10,0.0,42,,,6,Gearbox,,0 days 01:12:52.948000,01:12:52.948000
175,25,22,10,11,0.0,28,,,22,Suspension,,0 days 00:49:40.526000,00:49:40.526000
175,64,15,14,12,0.0,27,,,7,Transmission,,0 days 00:47:34.088000,00:47:34.088000
175,48,18,22,13,0.0,25,,,4,Collision,,0 days 00:44:22.847000,00:44:22.847000
175,15,20,12,14,0.0,25,,,4,Collision,,0 days 00:44:23.384000,00:44:23.384000
175,44,20,20,15,0.0,23,,,36,Wheel,,0 days 00:39:22.808000,00:39:22.808000
175,57,1,1,16,0.0,21,,,37,Throttle,,0 days 00:38:08.255000,00:38:08.255000
175,70,3,15,17,0.0,20,,,20,Spun off,,0 days 00:34:05.786000,00:34:05.786000
175,14,1,2,18,0.0,13,,,9,Hydraulics,,0 days 00:20:33.250000,00:20:33.250000
175,35,16,11,19,0.0,13,,,65,Rear wing,,0 days 00:21:00.284000,00:21:00.284000
175,71,17,9,20,0.0,0,,,4,Collision,,,
175,55,15,16,21,0.0,0,,,6,Gearbox,,,
175,65,24,13,22,0.0,0,,,66,Fire,,,
176,57,1,1,1,10.0,72,,,1,Finished,1.0,0 days 01:36:03.785000,01:36:03.785000
176,30,6,4,2,6.0,72,,,1,Finished,2.0,0 days 01:36:08.710000,01:36:08.710000
176,49,17,8,3,4.0,71,,,60,Out of fuel,3.0,0 days 01:35:56.877000,01:35:56.877000
176,23,3,11,4,3.0,71,,,11,+1 Lap,4.0,0 days 01:36:22.860000,01:36:22.860000
176,56,6,6,5,2.0,71,,,11,+1 Lap,5.0,0 days 01:36:23.103000,01:36:23.103000
176,44,20,12,6,1.0,71,,,11,+1 Lap,6.0,0 days 01:37:13.368000,01:37:13.368000
176,25,22,9,7,0.0,70,,,12,+2 Laps,7.0,0 days 01:36:12.021000,01:36:12.021000
176,68,21,19,8,0.0,69,,,13,+3 Laps,8.0,0 days 01:36:10.072000,01:36:10.072000
176,48,18,20,9,0.0,69,,,13,+3 Laps,9.0,0 days 01:37:02.116000,01:37:02.116000
176,37,21,17,10,0.0,52,,,9,Hydraulics,,0 days 01:12:15.709000,01:12:15.709000
176,35,16,21,11,0.0,49,,,9,Hydraulics,,0 days 01:08:09.488000,01:08:09.488000
176,70,3,16,12,0.0,43,,,6,Gearbox,,0 days 01:01:32.436000,01:01:32.436000
176,22,24,3,13,0.0,42,,,5,Engine,,0 days 00:56:45.095000,00:56:45.095000
176,64,15,15,14,0.0,42,,,4,Collision,,0 days 00:57:37.329000,00:57:37.329000
176,21,22,5,15,0.0,38,,,8,Clutch,,0 days 00:51:40.942000,00:51:40.942000
