RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POSITION,POINTS,STATUSID,STATUS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,ESTIMATED_FINISH_TIME,ESTIMATED_FINISH_TIME_STR,ML_SUCCESS_SCORE
175,56,6,6,1,1.0,10.0,1,Finished,57,0.0,,5701.66,01:35:01.660000,80.51
175,49,17,5,2,2.0,6.0,1,Finished,57,0.0,,5702.686,01:35:02.686000,75.87
175,23,3,8,3,3.0,4.0,1,Finished,57,0.0,,5708.672,01:35:08.672000,71.84
175,21,22,7,4,4.0,3.0,1,Finished,57,0.0,,5735.078,01:35:35.078000,67.35
175,22,24,4,5,5.0,2.0,1,Finished,57,0.0,,5756.357,01:35:56.357000,62.22
175,37,21,18,6,6.0,1.0,1,Finished,57,0.0,,5785.976,01:36:25.976000,61.59
175,68,21,17,7,7.0,0.0,1,Finished,57,0.0,,5787.948,01:36:27.948000,56.48
175,30,6,3,8,8.0,0.0,11,+1 Lap,56,0.0,,6284.072,01:44:44.072000,50.4
175,41,16,19,9,,0.0,6,Gearbox,48,0.0,,8513.486,02:21:53.486000,50.39
175,69,18,21,10,,0.0,6,Gearbox,42,0.0,,10385.752,02:53:05.752000,50.22
175,25,22,10,11,,0.0,22,Suspension,28,0.0,,14865.373,04:07:45.373000,47.33
175,64,15,14,12,,0.0,7,Transmission,27,0.0,,15063.242,04:11:03.242000,41.39
175,48,18,22,13,,0.0,4,Collision,25,0.0,,15785.357,04:23:05.357000,36.26
175,15,20,12,14,,0.0,4,Collision,25,0.0,,15788.54,04:23:08.540000,30.0
175,44,20,20,15,,0.0,36,Wheel,23,0.0,,15810.267,04:23:30.267000,24.23
175,70,3,15,17,,0.0,20,Spun off,20,0.0,,16616.897,04:36:56.897000,18.55
175,14,1,2,18,,0.0,9,Hydraulics,13,0.0,,17303.446,04:48:23.446000,12.92
175,57,1,1,16,,0.0,37,Throttle,21,0.0,,17390.738,04:49:50.738000,6.22
175,35,16,11,19,,0.0,65,Rear wing,13,0.0,,17682.754,04:54:42.754000,0.0
176,57,1,1,1,1.0,10.0,1,Finished,72,0.0,,5763.785,01:36:03.785000,80.0
176,30,6,4,2,2.0,6.0,1,Finished,72,0.0,,5768.71,01:36:08.710000,76.03
176,49,17,8,3,3.0,4.0,60,Out of fuel,71,0.0,,6129.858,01:42:09.858000,73.83
176,23,3,11,4,4.0,3.0,11,+1 Lap,71,0.0,,6333.453,01:45:33.453000,71.06
176,56,6,6,5,5.0,2.0,11,+1 Lap,71,0.0,,6333.72,01:45:33.720000,66.22
176,44,20,12,6,6.0,1.0,11,+1 Lap,71,0.0,,6388.77,01:46:28.770000,63.23
176,25,22,9,7,7.0,0.0,12,+2 Laps,70,0.0,,6589.999,01:49:49.999000,60.2
176,68,21,19,8,8.0,0.0,13,+3 Laps,69,0.0,,6863.877,01:54:23.877000,60.19
176,48,18,20,9,9.0,0.0,13,+3 Laps,69,0.0,,6925.787,01:55:25.787000,56.33
176,37,21,17,10,,0.0,9,Hydraulics,52,0.0,,12006.579,03:20:06.579000,54.53
176,35,16,21,11,,0.0,9,Hydraulics,49,0.0,,12919.444,03:35:19.444000,50.09
176,22,24,3,13,,0.0,5,Engine,42,0.0,,14593.264,04:03:13.264000,46.59
176,64,15,15,14,,0.0,4,Collision,42,0.0,,14817.124,04:06:57.124000,41.3
176,70,3,16,12,,0.0,6,Gearbox,43,0.0,,15147.575,04:12:27.575000,35.94
176,21,22,5,15,,0.0,8,Clutch,38,0.0,,15863.766,04:24:23.766000,31.3
176,72,18,18,16,,0.0,20,Spun off,31,0.0,,18206.576,05:03:26.576000,26.93
176,55,15,14,17,,0.0,6,Gearbox,27,0.0,,19370.269,05:22:50.269000,21.38
176,15,20,13,19,,0.0,6,Gearbox,21,0.0,,22161.348,06:09:21.348000,16.62
176,14,1,2,18,,0.0,6,Gearbox,22,0.0,,23607.601,06:33:27.601000,10.96
176,71,17,7,21,,0.0,4,Collision,10,0.0,,25301.474,07:01:41.474000,5.83
176,65,24,10,20,,0.0,9,Hydraulics,15,0.0,,25463.204,07:04:23.204000,0.0
177,30,6,3,1,1.0,10.0,1,Finished,62,0.0,,5624.792,01:33:44.792000,80.0
177,14,1,2,2,2.0,6.0,1,Finished,62,0.0,,5629.057,01:33:49.057000,75.79
177,22,24,6,3,3.0,4.0,11,+1 Lap,61,0.0,,6176.479,01:42:56.479000,74.28
177,71,17,8,4,4.0,3.0,11,+1 Lap,61,0.0,,6177.476,01:42:57.476000,70.14
177,21,22,16,5,5.0,2.0,11,+1 Lap,61,0.0,,6220.696,01:43:40.696000,67.71
177,55,15,13,6,6.0,1.0,11,+1 Lap,61,0.0,,6227.341,01:43:47.341000,62.49
