RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POSITION,POINTS,STATUSID,STATUS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,ESTIMATED_FINISH_TIME,ESTIMATED_FINISH_TIME_STR,AVG_LAP_TIME
900,3,131,3,1,1.0,25.0,1,Finished,57,206.436,1:32.478,5578.71,0 days 01:32:58.710000,97.87210526315788
900,825,1,4,2,2.0,18.0,1,Finished,57,205.131,1:33.066,5605.487,0 days 01:33:25.487000,98.34187719298244
900,18,1,10,3,3.0,15.0,1,Finished,57,205.46,1:32.917,5608.737,0 days 01:33:28.737000,98.39889473684212
900,4,6,5,4,4.0,12.0,1,Finished,57,204.867,1:33.186,5613.994,0 days 01:33:33.994000,98.49112280701752
900,822,3,15,5,5.0,10.0,1,Finished,57,206.128,1:32.616,5626.349,0 days 01:33:46.349000,98.70787719298248
900,807,10,7,6,6.0,8.0,1,Finished,57,206.235,1:32.568,5629.428,0 days 01:33:49.428000,98.76189473684212
900,8,6,11,7,7.0,6.0,1,Finished,57,204.814,1:33.210,5636.385,0 days 01:33:56.385000,98.88394736842106
900,818,5,6,8,8.0,4.0,1,Finished,57,203.763,1:33.691,5639.151,0 days 01:33:59.151000,98.93247368421052
900,826,5,8,9,9.0,2.0,1,Finished,57,203.387,1:33.864,5642.295,0 days 01:34:02.295000,98.98763157894736
900,815,10,16,10,10.0,1.0,1,Finished,57,206.088,1:32.634,5664.626,0 days 01:34:24.626000,99.37940350877192
900,16,15,13,11,11.0,0.0,11,+1 Lap,56,204.472,1:33.366,6141.547,0 days 01:42:21.547000,99.76521428571428
900,821,15,20,12,12.0,0.0,11,+1 Lap,56,201.882,1:34.564,6148.257,0 days 01:42:28.257000,99.87421428571427
900,820,206,17,13,13.0,0.0,12,+2 Laps,55,202.658,1:34.202,6443.266,0 days 01:47:23.266000,101.8376181818182
900,824,206,18,14,,0.0,18,+8 Laps,49,199.621,1:35.635,8511.834,0 days 02:21:51.834000,115.76002040816329
900,154,208,22,15,,0.0,132,ERS,43,200.363,1:35.281,8465.06,0 days 02:21:05.060000,101.02709302325582
900,813,208,21,16,,0.0,132,ERS,29,201.451,1:34.766,11207.52,0 days 03:06:47.520000,104.03341379310343
900,828,207,19,17,,0.0,51,Oil pressure,27,196.141,1:37.332,11672.339,0 days 03:14:32.339000,105.0142962962963
