RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR,ESTIMATED_FINISH_TIME,AVG_LAP_TIME,ESTIMATED_FINISH_TIME_STR
900,3,131,3,1,25.0,57,206.436,1:32.478,1,Finished,1.0,5578.71,01:32:58.710000,5578.71,97.87210526315789,0 days 01:32:58.710000
900,825,1,4,2,18.0,57,205.131,1:33.066,1,Finished,2.0,5605.487,01:33:25.487000,5605.487,98.34187719298245,0 days 01:33:25.487000
900,18,1,10,3,15.0,57,205.46,1:32.917,1,Finished,3.0,5608.737,01:33:28.737000,5608.737,98.39889473684211,0 days 01:33:28.737000
900,4,6,5,4,12.0,57,204.867,1:33.186,1,Finished,4.0,5613.994,01:33:33.994000,5613.994,98.49112280701753,0 days 01:33:33.994000
900,822,3,15,5,10.0,57,206.128,1:32.616,1,Finished,5.0,5626.349,01:33:46.349000,5626.349,98.70787719298247,0 days 01:33:46.349000
900,807,10,7,6,8.0,57,206.235,1:32.568,1,Finished,6.0,5629.428,01:33:49.428000,5629.428,98.76189473684211,0 days 01:33:49.428000
900,8,6,11,7,6.0,57,204.814,1:33.210,1,Finished,7.0,5636.385,01:33:56.385000,5636.385,98.88394736842106,0 days 01:33:56.385000
900,818,5,6,8,4.0,57,203.763,1:33.691,1,Finished,8.0,5639.151,01:33:59.151000,5639.151,98.93247368421052,0 days 01:33:59.151000
900,826,5,8,9,2.0,57,203.387,1:33.864,1,Finished,9.0,5642.295,01:34:02.295000,5642.295,98.98763157894737,0 days 01:34:02.295000
900,815,10,16,10,1.0,57,206.088,1:32.634,1,Finished,10.0,5664.626,01:34:24.626000,5664.626,99.37940350877193,0 days 01:34:24.626000
900,16,15,13,11,0.0,56,204.472,1:33.366,11,+1 Lap,11.0,5586.852,01:33:06.852000,6141.547,99.76521428571428,0 days 01:42:21.547000
900,821,15,20,12,0.0,56,201.882,1:34.564,11,+1 Lap,12.0,5592.956,01:33:12.956000,6148.257,99.87421428571429,0 days 01:42:28.257000
900,820,206,17,13,0.0,55,202.658,1:34.202,12,+2 Laps,13.0,5601.069,01:33:21.069000,6443.266,101.83761818181819,0 days 01:47:23.266000
900,824,206,18,14,0.0,49,199.621,1:35.635,18,+8 Laps,,5672.241,01:34:32.241000,8511.834,115.76002040816327,0 days 02:21:51.834000
900,154,208,22,15,0.0,43,200.363,1:35.281,132,ERS,,4344.165,01:12:24.165000,8465.06,101.02709302325582,0 days 02:21:05.060000
900,813,208,21,16,0.0,29,201.451,1:34.766,132,ERS,,3016.969,00:50:16.969000,11207.52,104.03341379310345,0 days 03:06:47.520000
900,828,207,19,17,0.0,27,196.141,1:37.332,51,Oil pressure,,2835.386,00:47:15.386000,11672.339,105.0142962962963,0 days 03:14:32.339000
900,20,9,12,18,0.0,3,196.682,1:37.064,5,Engine,,342.384,00:05:42.384000,17369.14,114.128,0 days 04:49:29.140000
900,1,131,1,19,0.0,2,173.636,1:49.947,5,Engine,,206.415,00:03:26.415000,15883.634,103.2075,0 days 04:24:43.634000
900,13,3,9,20,0.0,0,190.361,1:40.287,4,Collision,,,,,,NaT
900,155,207,14,21,0.0,0,,,4,Collision,,,,,,NaT
900,817,9,2,22,0.0,57,,,2,Disqualified,,5603.235,01:33:23.235000,5883.397,98.30236842105262,0 days 01:38:03.397000
901,1,131,1,1,25.0,56,193.611,1:43.066,1,Finished,1.0,6025.974,01:40:25.974000,6025.974,107.60667857142857,0 days 01:40:25.974000
901,3,131,3,2,18.0,56,191.946,1:43.960,1,Finished,2.0,6043.287,01:40:43.287000,6043.287,107.91583928571428,0 days 01:40:43.287000
901,20,9,2,3,15.0,56,191.341,1:44.289,1,Finished,3.0,6050.508,01:40:50.508000,6050.508,108.04478571428571,0 days 01:40:50.508000
901,4,6,4,4,12.0,56,191.569,1:44.165,1,Finished,4.0,6061.966,01:41:01.966000,6061.966,108.24939285714287,0 days 01:41:01.966000
901,807,10,7,5,10.0,56,188.284,1:45.982,1,Finished,5.0,6073.173,01:41:13.173000,6073.173,108.44951785714285,0 days 01:41:13.173000
901,18,1,10,6,8.0,56,188.183,1:46.039,1,Finished,6.0,6109.665,01:41:49.665000,6109.665,109.10116071428571,0 days 01:41:49.665000
901,13,3,13,7,6.0,56,190.232,1:44.897,1,Finished,7.0,6111.05,01:41:51.050000,6111.05,109.12589285714286,0 days 01:41:51.050000
901,822,3,18,8,4.0,56,189.189,1:45.475,1,Finished,8.0,6111.511,01:41:51.511000,6111.511,109.13412500000001,0 days 01:41:51.511000
901,825,1,8,9,2.0,55,189.372,1:45.373,11,+1 Lap,9.0,6028.365,01:40:28.365000,6629.009,109.60663636363635,0 days 01:50:29.009000
901,826,5,11,10,1.0,55,187.026,1:46.695,11,+1 Lap,10.0,6055.334,01:40:55.334000,6658.665,110.09698181818182,0 days 01:50:58.665000
901,154,208,15,11,0.0,55,187.855,1:46.224,11,+1 Lap,11.0,6057.536,01:40:57.536000,6661.087,110.13701818181818,0 days 01:51:01.087000
