RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR
900,3,131,3,1,25.0,57,206.436,1:32.478,1,Finished,1.0,0 days 01:32:58.710000,01:32:58.710000
900,825,1,4,2,18.0,57,205.131,1:33.066,1,Finished,2.0,0 days 01:33:25.487000,01:33:25.487000
900,18,1,10,3,15.0,57,205.46,1:32.917,1,Finished,3.0,0 days 01:33:28.737000,01:33:28.737000
900,4,6,5,4,12.0,57,204.867,1:33.186,1,Finished,4.0,0 days 01:33:33.994000,01:33:33.994000
900,822,3,15,5,10.0,57,206.128,1:32.616,1,Finished,5.0,0 days 01:33:46.349000,01:33:46.349000
900,807,10,7,6,8.0,57,206.235,1:32.568,1,Finished,6.0,0 days 01:33:49.428000,01:33:49.428000
900,8,6,11,7,6.0,57,204.814,1:33.210,1,Finished,7.0,0 days 01:33:56.385000,01:33:56.385000
900,818,5,6,8,4.0,57,203.763,1:33.691,1,Finished,8.0,0 days 01:33:59.151000,01:33:59.151000
900,826,5,8,9,2.0,57,203.387,1:33.864,1,Finished,9.0,0 days 01:34:02.295000,01:34:02.295000
900,815,10,16,10,1.0,57,206.088,1:32.634,1,Finished,10.0,0 days 01:34:24.626000,01:34:24.626000
900,16,15,13,11,0.0,56,204.472,1:33.366,11,+1 Lap,11.0,0 days 01:33:06.852000,01:33:06.852000
900,821,15,20,12,0.0,56,201.882,1:34.564,11,+1 Lap,12.0,0 days 01:33:12.956000,01:33:12.956000
900,820,206,17,13,0.0,55,202.658,1:34.202,12,+2 Laps,13.0,0 days 01:33:21.069000,01:33:21.069000
900,824,206,18,14,0.0,49,199.621,1:35.635,18,+8 Laps,,0 days 01:34:32.241000,01:34:32.241000
900,154,208,22,15,0.0,43,200.363,1:35.281,132,ERS,,0 days 01:12:24.165000,01:12:24.165000
900,813,208,21,16,0.0,29,201.451,1:34.766,132,ERS,,0 days 00:50:16.969000,00:50:16.969000
900,828,207,19,17,0.0,27,196.141,1:37.332,51,Oil pressure,,0 days 00:47:15.386000,00:47:15.386000
900,20,9,12,18,0.0,3,196.682,1:37.064,5,Engine,,0 days 00:05:42.384000,00:05:42.384000
900,1,131,1,19,0.0,2,173.636,1:49.947,5,Engine,,0 days 00:03:26.415000,00:03:26.415000
900,13,3,9,20,0.0,0,190.361,1:40.287,4,Collision,,,
900,155,207,14,21,0.0,0,,,4,Collision,,,
900,817,9,2,22,0.0,57,,,2,Disqualified,,0 days 01:33:23.235000,01:33:23.235000
901,1,131,1,1,25.0,56,193.611,1:43.066,1,Finished,1.0,0 days 01:40:25.974000,01:40:25.974000
901,3,131,3,2,18.0,56,191.946,1:43.960,1,Finished,2.0,0 days 01:40:43.287000,01:40:43.287000
901,20,9,2,3,15.0,56,191.341,1:44.289,1,Finished,3.0,0 days 01:40:50.508000,01:40:50.508000
901,4,6,4,4,12.0,56,191.569,1:44.165,1,Finished,4.0,0 days 01:41:01.966000,01:41:01.966000
901,807,10,7,5,10.0,56,188.284,1:45.982,1,Finished,5.0,0 days 01:41:13.173000,01:41:13.173000
901,18,1,10,6,8.0,56,188.183,1:46.039,1,Finished,6.0,0 days 01:41:49.665000,01:41:49.665000
901,13,3,13,7,6.0,56,190.232,1:44.897,1,Finished,7.0,0 days 01:41:51.050000,01:41:51.050000
901,822,3,18,8,4.0,56,189.189,1:45.475,1,Finished,8.0,0 days 01:41:51.511000,01:41:51.511000
901,825,1,8,9,2.0,55,189.372,1:45.373,11,+1 Lap,9.0,0 days 01:40:28.365000,01:40:28.365000
901,826,5,11,10,1.0,55,187.026,1:46.695,11,+1 Lap,10.0,0 days 01:40:55.334000,01:40:55.334000
901,154,208,15,11,0.0,55,187.855,1:46.224,11,+1 Lap,11.0,0 days 01:40:57.536000,01:40:57.536000
901,8,6,6,12,0.0,55,189.812,1:45.129,11,+1 Lap,12.0,0 days 01:40:57.674000,01:40:57.674000
901,155,207,20,13,0.0,55,185.19,1:47.753,11,+1 Lap,13.0,0 days 01:41:37.748000,01:41:37.748000
901,828,207,22,14,0.0,54,185.626,1:47.500,12,+2 Laps,14.0,0 days 01:40:37.511000,01:40:37.511000
901,820,206,21,15,0.0,54,184.341,1:48.249,12,+2 Laps,15.0,0 days 01:40:37.641000,01:40:37.641000
901,817,9,5,16,0.0,49,190.635,1:44.675,39,Technical,,0 days 01:32:02.546000,01:32:02.546000
901,821,15,12,17,0.0,35,185.14,1:47.782,6,Gearbox,,0 days 01:04:57.937000,01:04:57.937000
901,16,15,17,18,0.0,32,184.698,1:48.040,10,Electrical,,0 days 00:59:25.971000,00:59:25.971000
901,818,5,9,19,0.0,18,183.869,1:48.527,131,Power Unit,,0 days 00:34:49.905000,00:34:49.905000
901,824,206,19,20,0.0,8,179.01,1:51.473,23,Brakes,,0 days 00:17:09.632000,00:17:09.632000
901,813,208,16,21,0.0,7,179.888,1:50.929,5,Engine,,0 days 00:13:28.607000,00:13:28.607000
901,815,10,14,22,0.0,0,,,54,Withdrew,,,
902,1,131,2,1,25.0,57,200.634,1:37.108,1,Finished,1.0,0 days 01:39:42.743000,01:39:42.743000
902,3,131,1,2,18.0,57,200.816,1:37.020,1,Finished,2.0,0 days 01:39:43.828000,01:39:43.828000
902,815,10,4,3,15.0,57,196.165,1:39.320,1,Finished,3.0,0 days 01:40:06.810000,01:40:06.810000
902,817,9,13,4,12.0,57,196.266,1:39.269,1,Finished,4.0,0 days 01:40:07.232000,01:40:07.232000
902,807,10,11,5,10.0,57,197.228,1:38.785,1,Finished,5.0,0 days 01:40:11.397000,01:40:11.397000
902,20,9,10,6,8.0,57,196.181,1:39.312,1,Finished,6.0,0 days 01:40:12.622000,01:40:12.622000
902,13,3,7,7,6.0,57,196.26,1:39.272,1,Finished,7.0,0 days 01:40:14.008000,01:40:14.008000
902,822,3,3,8,4.0,57,195.296,1:39.762,1,Finished,8.0,0 days 01:40:14.619000,01:40:14.619000
902,4,6,9,9,2.0,57,195.355,1:39.732,1,Finished,9.0,0 days 01:40:15.338000,01:40:15.338000
902,8,6,5,10,1.0,57,195.933,1:39.438,1,Finished,10.0,0 days 01:40:16.205000,01:40:16.205000
902,826,5,12,11,0.0,57,194.52,1:40.160,1,Finished,11.0,0 days 01:40:24.085000,01:40:24.085000
902,154,208,16,12,0.0,57,195.923,1:39.443,1,Finished,12.0,0 days 01:40:25.886000,01:40:25.886000
902,820,206,21,13,0.0,57,191.34,1:41.825,1,Finished,13.0,0 days 01:40:42.652000,01:40:42.652000
