RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POSITION,POINTS,STATUSID,STATUS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,ESTIMATED_FINISH_TIME,ESTIMATED_FINISH_TIME_STR,ML_SUCCESS_SCORE
1121,830,9,1,1,1.0,26,1,Finished,57,210.383,1:32.608,5504.742,01:31:44.742000,85.73
1121,815,9,5,2,2.0,18,1,Finished,57,206.468,1:34.364,5527.199,01:32:07.199000,76.96
1121,832,6,4,3,3.0,15,1,Finished,57,206.156,1:34.507,5529.852,01:32:09.852000,72.71
1121,844,6,2,4,4.0,12,1,Finished,57,207.069,1:34.090,5544.411,01:32:24.411000,68.94
1121,847,131,3,5,5.0,10,1,Finished,57,204.946,1:35.065,5551.53,01:32:31.530000,63.16
1121,846,1,7,6,6.0,8,1,Finished,57,206.223,1:34.476,5553.2,01:32:33.200000,60.68
1121,1,131,9,7,7.0,6,1,Finished,57,205.688,1:34.722,5555.066,01:32:35.066000,56.72
1121,857,1,8,8,8.0,4,1,Finished,57,205.123,1:34.983,5560.824,01:32:40.824000,51.63
1121,4,117,6,9,9.0,2,1,Finished,57,206.83,1:34.199,5579.629,01:32:59.629000,48.73
1121,840,117,12,10,10.0,1,1,Finished,57,203.73,1:35.632,5597.958,01:33:17.958000,44.72
1121,855,15,17,11,11.0,0,11,+1 Lap,56,204.102,1:35.458,6058.714,01:40:58.714000,44.71
1121,825,210,15,12,12.0,0,11,+1 Lap,56,203.863,1:35.570,6060.426,01:41:00.426000,39.18
1121,817,215,14,13,13.0,0,11,+1 Lap,56,204.735,1:35.163,6061.132,01:41:01.132000,34.89
1121,852,215,11,14,14.0,0,11,+1 Lap,56,203.303,1:35.833,6061.708,01:41:01.708000,30.71
1121,848,3,13,15,15.0,0,11,+1 Lap,56,203.537,1:35.723,6064.35,01:41:04.350000,25.37
1121,807,210,10,16,16.0,0,11,+1 Lap,56,205.445,1:34.834,6070.667,01:41:10.667000,21.13
1121,839,214,19,17,17.0,0,11,+1 Lap,56,202.473,1:36.226,6085.857,01:41:25.857000,16.66
1121,842,214,20,18,18.0,0,11,+1 Lap,56,205.508,1:34.805,6086.92,01:41:26.920000,11.4
1121,822,15,16,19,19.0,0,11,+1 Lap,56,202.523,1:36.202,6142.778,01:42:22.778000,5.9
1121,858,3,18,20,20.0,0,12,+2 Laps,55,205.659,1:34.735,6356.377,01:45:56.377000,0.0
1122,830,9,1,1,1.0,25,1,Finished,50,242.188,1:31.773,4843.273,01:20:43.273000,81.43
1122,815,9,3,2,2.0,18,1,Finished,50,240.876,1:32.273,4851.916,01:20:51.916000,75.79
1122,844,6,2,3,3.0,16,1,Finished,50,242.561,1:31.632,4861.912,01:21:01.912000,72.9
1122,857,1,5,4,4.0,12,1,Finished,50,240.779,1:32.310,4875.28,01:21:15.280000,69.12
