"RACEID","YEAR","ROUND","CIRCUITID","NAME","DATE","TIME","URL","FP1_DATE","FP1_TIME","FP2_DATE","FP2_TIME","FP3_DATE","FP3_TIME","QUALI_DATE","QUALI_TIME","SPRINT_DATE","SPRINT_TIME","RESULTID","RACEID_2","DRIVERID","CONSTRUCTORID","NUMBER","GRID","POSITION","POSITIONTEXT","POSITIONORDER","POINTS","LAPS","TIME_2","MILLISECONDS","FASTESTLAP","RANK","FASTESTLAPTIME","FASTESTLAPSPEED","STATUSID","DRIVERID_2","DRIVERREF","NUMBER_2","CODE","FORENAME","SURNAME","DOB","NATIONALITY","URL_2"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26286","1121","830","9","1","1","1","1","1",26,"57","1:31:44.742","5504742","39","1","1:32.608",210.383,"1","830","max_verstappen","33","VER","Max","Verstappen","1997-09-30","Dutch","http://en.wikipedia.org/wiki/Max_Verstappen"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26287","1121","815","9","11","5","2","2","2",18,"57","+22.457","5527199","40","4","1:34.364",206.468,"1","815","perez","11","PER","Sergio","Pérez","1990-01-26","Mexican","http://en.wikipedia.org/wiki/Sergio_P%C3%A9rez"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26288","1121","832","6","55","4","3","3","3",15,"57","+25.110","5529852","44","6","1:34.507",206.156,"1","832","sainz","55","SAI","Carlos","Sainz","1994-09-01","Spanish","http://en.wikipedia.org/wiki/Carlos_Sainz_Jr."
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26289","1121","844","6","16","2","4","4","4",12,"57","+39.669","5544411","36","2","1:34.090",207.069,"1","844","leclerc","16","LEC","Charles","Leclerc","1997-10-16","Monegasque","http://en.wikipedia.org/wiki/Charles_Leclerc"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26290","1121","847","131","63","3","5","5","5",10,"57","+46.788","5551530","40","12","1:35.065",204.946,"1","847","russell","63","RUS","George","Russell","1998-02-15","British","http://en.wikipedia.org/wiki/George_Russell_(racing_driver)"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26291","1121","846","1","4","7","6","6","6",8,"57","+48.458","5553200","1","5","1:34.476",206.223,"1","846","norris","4","NOR","Lando","Norris","1999-11-13","British","http://en.wikipedia.org/wiki/Lando_Norris"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26292","1121","1","131","44","9","7","7","7",6,"57","+50.324","5555066","39","7","1:34.722",205.688,"1","1","hamilton","44","HAM","Lewis","Hamilton","1985-01-07","British","http://en.wikipedia.org/wiki/Lewis_Hamilton"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26293","1121","857","1","81","8","8","8","8",4,"57","+56.082","5560824","1","11","1:34.983",205.123,"1","857","piastri","81","PIA","Oscar","Piastri","2001-04-06","Australian","http://en.wikipedia.org/wiki/Oscar_Piastri"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26294","1121","4","117","14","6","9","9","9",2,"57","+1:14.887","5579629","48","3","1:34.199",206.83,"1","4","alonso","14","ALO","Fernando","Alonso","1981-07-29","Spanish","http://en.wikipedia.org/wiki/Fernando_Alonso"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26295","1121","840","117","18","12","10","10","10",1,"57","+1:33.216","5597958","30","16","1:35.632",203.73,"1","840","stroll","18","STR","Lance","Stroll","1998-10-29","Canadian","http://en.wikipedia.org/wiki/Lance_Stroll"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26296","1121","855","15","24","17","11","11","11",0,"56",,,"30","14","1:35.458",204.102,"11","855","zhou","24","ZHO","Guanyu","Zhou","1999-05-30","Chinese","http://en.wikipedia.org/wiki/Zhou_Guanyu"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26297","1121","825","210","20","15","12","12","12",0,"56",,,"34","15","1:35.570",203.863,"11","825","kevin_magnussen","20","MAG","Kevin","Magnussen","1992-10-05","Danish","http://en.wikipedia.org/wiki/Kevin_Magnussen"
"1121","2024","1","3","Bahrain Grand Prix","2024-03-02","15:00:00","https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix","2024-02-29","11:30:00","2024-02-29","15:00:00","2024-03-01","12:30:00","2024-03-01","16:00:00",,"NULL","26298","1121","817","215","3","14","13","13","13",0,"56",,,"37","13","1:35.163",204.735,"11","817","ricciardo","3","RIC","Daniel","Ricciardo","1989-07-01","Australian","http://en.wikipedia.org/wiki/Daniel_Ricciardo"
