RACEID,YEAR,ROUND,CIRCUITID,NAME,DATE,TIME,URL,FP1_DATE,FP1_TIME,FP2_DATE,FP2_TIME,FP3_DATE,FP3_TIME,QUALI_DATE,QUALI_TIME,SPRINT_DATE,SPRINT_TIME,RESULTID,RACEID,DRIVERID,CONSTRUCTORID,NUMBER,GRID,POSITION,POSITIONTEXT,POSITIONORDER,POINTS,LAPS,TIME,MILLISECONDS,FASTESTLAP,RANK,FASTESTLAPTIME,FASTESTLAPSPEED,STATUSID,DRIVERID,DRIVERREF,NUMBER,CODE,FORENAME,SURNAME,DOB,NATIONALITY,URL
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7554,1,18,23,22,1,1,1,1,10.0,58,1:34:15.784,5655784,17,3,1:28.020,216.891,1,18,button,22,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7555,1,22,23,23,2,2,2,2,8.0,58,+0.807,5656591,43,14,1:29.066,214.344,1,22,barrichello,,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7556,1,15,7,9,20,3,3,3,6.0,58,+1.604,5657388,50,10,1:28.916,214.706,1,15,trulli,,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7557,1,10,7,10,19,4,4,4,5.0,58,+4.435,5660219,53,6,1:28.416,215.920,1,10,glock,,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7558,1,4,4,7,10,5,5,5,4.0,58,+4.879,5660663,53,9,1:28.712,215.199,1,4,alonso,14,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7559,1,3,3,16,5,6,6,6,3.0,58,+5.722,5661506,48,1,1:27.706,217.668,1,3,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7560,1,67,5,12,13,7,7,7,2.0,58,+6.004,5661788,34,16,1:29.230,213.950,1,67,buemi,,BUE,Sébastien,Buemi,1988-10-31,Swiss,http://en.wikipedia.org/wiki/S%C3%A9bastien_Buemi
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7561,1,7,5,11,17,8,8,8,1.0,58,+6.298,5662082,50,17,1:29.823,212.537,1,7,bourdais,,BOU,Sébastien,Bourdais,1979-02-28,French,http://en.wikipedia.org/wiki/S%C3%A9bastien_Bourdais
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7562,1,16,10,20,16,9,9,9,0.0,58,+6.335,5662119,43,11,1:28.943,214.640,1,16,sutil,99,SUT,Adrian,Sutil,1983-01-11,German,http://en.wikipedia.org/wiki/Adrian_Sutil
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7563,1,2,2,6,9,10,10,10,0.0,58,+7.085,5662869,48,5,1:28.283,216.245,1,2,heidfeld,,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7564,1,21,10,21,15,11,11,11,0.0,58,+7.374,5663158,51,12,1:29.005,214.491,1,21,fisichella,,FIS,Giancarlo,Fisichella,1973-01-14,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7565,1,17,9,14,8,12,12,12,0.0,57,,,38,8,1:28.508,215.695,11,17,webber,,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver)
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7566,1,20,9,15,3,13,13,13,0.0,56,,,8,4,1:28.140,216.596,4,20,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel
1,2009,1,1,Australian Grand Prix,2009-03-29,06:00:00.000,http://en.wikipedia.org/wiki/2009_Australian_Grand_Prix,,,,,,,,,,,7567,1,9,2,5,4,14,14,14,0.0,55,,,36,2,1:27.988,216.970,4,9,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica
